Title,Video ID,Published At,Keyword,Likes,Comments,Views,year,month,Engagement_Score
Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,XHKojSQxTs0,2022-08-24,news,1288,3,172513,2022,8,0.007483493997553808
【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）,voU9-39bicg,2022-08-24,news,257,1,62189,2022,8,0.004148643650806413
අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin,88w5Q03Lcro,2022-08-24,news,612,18,60835,2022,8,0.010355880660803814
"Najib ke penjara, Mahkamah Persekutuan kekal sabitan",B0ga0OUkb9c,2022-08-23,news,2385,1349,288722,2022,8,0.0129328558267122
Deadly car bomb detonates outside Moscow,--hxd1CrOqg,2022-08-22,news,6379,4853,808787,2022,8,0.013887463571991143
Jail for Najib as Federal Court upholds ex-PM’s conviction,o3TQPM5OkEU,2022-08-23,news,1009,451,127803,2022,8,0.011423831991424301
Potential mass shooting foiled in Washington state,lHDn25SLgdk,2022-08-22,news,5630,1848,533947,2022,8,0.01400513534114809
🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24,kSKxCN8M-WE,2022-08-24,news,686,18,56683,2022,8,0.012419949543954978
Nightly News Full Broadcast - Aug. 18,fHCk3o_5l7o,2022-08-19,news,7277,1294,796750,2022,8,0.010757452149356762
Morning News NOW Full Broadcast - Aug. 19,8NL6YyEW2ww,2022-08-19,news,695,121,159877,2022,8,0.005103923641299249
Ukraine&#39;s Crimean fightback having &#39;psychological impact&#39; on Russia - BBC News,uDSR4wV_zno,2022-08-20,news,15854,5373,1465011,2022,8,0.014489311001760397
"Dobol B TV Livestream: August 22, 2022 - Replay",f2TK2lpFFzs,2022-08-22,news,1030,10,187892,2022,8,0.005535094628829327
🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,8Vqj8Ls29HI,2022-08-24,news,198,12,17763,2022,8,0.011822327309576086
Nightly News Full Broadcast - Aug. 17,uVmNImDu0rQ,2022-08-18,news,7342,1531,932432,2022,8,0.009515975427698749
UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश,_JGrWrwOoD8,2022-08-23,news,286,22,23135,2022,8,0.013313161875945537
Daughter of Russian ultra-nationalist killed in suspected car bomb attack,hPy7QFsTaLw,2022-08-21,news,2083,2195,164119,2022,8,0.026066451781938716
18 Million Under Flood Alerts Nationwide,s-XXxzZCkLg,2022-08-21,news,1728,665,212973,2022,8,0.011236166086780953
🔴 Live at 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,bLHeJmGUyWQ,2022-08-24,news,180,16,13976,2022,8,0.014024041213508873
"Inside the war in Ukraine, 6 months since Russia invaded",h4VjpOOWzZ0,2022-08-21,news,1102,668,106690,2022,8,0.016590120911050707
"T. Raja Singh News: T. Raja Singh को जमानत मिली, टी राजा ने दिया था विवादित बयान| Latest News",CBNHQyXOcjE,2022-08-23,news,1688,796,89985,2022,8,0.027604600766794465
Why Netflix is Now Making Video Games,Ccc0GvjuqkQ,2022-08-23,gaming,8384,1307,176151,2022,8,0.05501529937383268
My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,gaming,63825,3338,1564007,2022,8,0.04294290242946483
ROBLOX ATHLETES TYCOON,wXjxEphvceM,2022-08-24,gaming,4163,618,133933,2022,8,0.035696952954088985
Naik Wahana Roller Coaster! - Runner Coaster,iRxsHyRJnnQ,2022-08-24,gaming,2925,121,99244,2022,8,0.030692031760106403
I OPENED MY OWN ARCADE SHOP,WBK2_lD7KGA,2022-08-24,gaming,298406,15609,3773387,2022,8,0.0832183393858091
[VOD 7] DU SANG ET DES CRÂNES ! Campagne légendaire Valkia sur Immortal Empire,RRaznaiwf9A,2022-08-24,gaming,549,29,16307,2022,8,0.03544490096277672
What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING,YeqhIN6Dg_U,2022-08-22,gaming,2170,282,126228,2022,8,0.019425167157841365
"Tonnenweise GANZ NEUE Games, Monkey Island 5 Release uvm. - Opening Night Live | gamescom 2022",4ndP7aEL48w,2022-08-23,gaming,1365,256,46436,2022,8,0.034908260832113014
Free Fire | Bất Ngờ Nhận FREE 900 Kim Cương Mua Đồ Cực Ngon - Garena Hứa Sẽ Sửa Vòng Quay Ma Thuật,aVYgohhJTwo,2022-08-24,gaming,3516,306,121644,2022,8,0.03141955213574036
10 Infuriating Ways Video Games Stopped You From Getting 100%,t3L2dLPzvrM,2022-08-24,gaming,2481,429,67444,2022,8,0.04314690706363798
Farming Simulator 22 #13 - Khi Xe Bán Tải Chở Quá Tải !!,UZFeOxoRe8g,2022-08-24,gaming,2501,193,84565,2022,8,0.03185715130373086
Secret Hidden Oven Entrance to Epic GAMING FORT!,PyUwWSrFy5E,2022-08-20,gaming,82449,2673,2007038,2022,8,0.04241175304104855
🔥Artistic Music Mix 2022: Top 50 Songs ♫ Best NCS Gaming Music ♫ Best Of EDM Remixes 2022,GiHBWPRybpw,2022-08-24,gaming,1243,21,5967,2022,8,0.21183174124350596
"Free Fire | We Got Level 1 Ghost Id 😨With 9999 Badges😍 Wasting 10,000 Diamonds 💎-Garena Free Fire",wRWhpXAMrLQ,2022-08-24,gaming,48710,3417,552256,2022,8,0.09438919631475258
gaming in the future,zJJ7JiG2Lvw,2022-08-24,gaming,29966,471,205943,2022,8,0.1477933214530234
The *DESTINY* Challenge in Fortnite!,f-vwWjR_3JY,2022-08-24,gaming,15842,1547,530763,2022,8,0.032762268658516135
7 Reasons The Gaming Industry Is Broken,gYvCj3EufhA,2022-08-24,gaming,3374,741,82874,2022,8,0.049653691145594515
GTA 5 CAN CHOP COMPLETE THIS INSANE IMPOSSIBLE STUNT RACE,0aSjii_bpUc,2022-08-24,gaming,8260,195,191777,2022,8,0.04408766431845321
🎧 FOLLOW ME ON LOCO | ACHANAK BAYANAK GAMING,-ymEXN_zeR4,2022-08-24,gaming,1525,36,14877,2022,8,0.10492706862942798
Finally Improved it ! Lenovo Ideapad Gaming 3 2022 |  i5 12th gen RTX 3050,i2tzQ0RUm6Q,2022-08-24,gaming,468,164,10351,2022,8,0.061056902714713555
NO STREAM FOR 3 DAYS | KYA AAJ 35 KILLS HONGE | GODL LoLzZz | BGMI LIVE,HN-EAqkxYLo,2022-08-23,gaming,18208,44,228095,2022,8,0.08001929020802735
🔴SHORT STREAM OR WHAT??😱| BGMI LIVE,514QAJMYHus,2022-08-24,gaming,3171,5,19693,2022,8,0.16127558015538515
GTA 5 ONLINE : RAMP BUGGY VS DRAUGUR (WHICH IS BEST OFF ROAD VEHICLE?),KO9XkCtJ8Ds,2022-08-23,gaming,1204,135,27564,2022,8,0.0485778551734146
Mylta Power Station Long drive &amp; Night Food Party Vlog | RON GAMING VLOGS,9BFPMqT4twI,2022-08-23,gaming,10556,466,66633,2022,8,0.16541353383458646
ASMR Gaming 😴 Fortnite Tryhard Squad Win! Relaxing Gum Chewing 🎮🎧 Controller Sounds 💤,fT3XZ_lrUp8,2022-08-22,gaming,869,155,22860,2022,8,0.04479440069991251
15 Graphically MIND-BLOWING Games of 2022,2MTmULlJIJE,2022-01-18,gaming,13492,707,879645,2022,1,0.016141738996981736
RP ගේ පේජ් එකට මොකද උනේ 😥 | අලුත් පේජ් එක | Rp gaming,meUhoYdG0rM,2022-08-24,gaming,358,23,2386,2022,8,0.15968147527242246
The FIRST 42-inch OLED Gaming Monitor - PG42UQ,f-OUonH08fo,2022-08-23,gaming,2677,485,65005,2022,8,0.04864241212214445
Gaming Memes Only True Gamers Understand 84 #Memes #shorts,i_n68sBUTow,2022-08-23,gaming,39872,187,246407,2022,8,0.16257249185291003
اصعب لعبة جوال تخليك تعصب ضحك وتحشيش,RnpJZLc7WtQ,2022-08-22,gaming,46642,1287,268946,2022,8,0.17821049578725842
"TOP 5 BEST GAMING PHONE UNDER 15,000/- RS FOR PUBG &amp; BGMI | GAMING PHONE UNDER 15k FOR PUBG &amp; BGMI",grQ_zwR1giM,2022-08-24,gaming,674,93,5931,2022,8,0.1293205193053448
Si SQUIDWARD At Si DREAM Nandito Sa ROBLOX BACKROOM MORPHS!!?,U2ammRwQ20Y,2022-08-22,gaming,3495,202,226258,2022,8,0.01633975373246471
New PS4 &amp; PS5 Games This Week,-my0r8QrgiQ,2022-08-23,gaming,789,77,19223,2022,8,0.04505020028091349
GTA 5 : WHO KIDNAPPED TREVOR | GTA 5 BANGLA GAMEPLAY #77 | GAMING FUN TIPS,qR12rWDMjls,2022-08-24,gaming,3273,472,31837,2022,8,0.1176304300028269
I CAUGHT KARL the Haunted Car in The Long Drive Mods?!,dC7EnOoJRrs,2022-08-23,gaming,4484,459,97946,2022,8,0.05046658362771323
This Budget Gaming Laptop Can’t Be Beat!,tN0O_MQkF10,2022-08-22,gaming,2700,279,70186,2022,8,0.04244436212350041
PlayStation 5 Review: Next Gen Gaming!,MepGo2xmVJw,2020-11-14,gaming,238193,14706,7132206,2020,11,0.035458734646755856
The Story of Super Mario World | Gaming Historian,s2bTQK6vbKI,2022-05-06,gaming,71905,6315,2381931,2022,5,0.032838902554272145
PESA HO TO KIA KUCH NAHI HO SAKTA | GTA 5 | SHADOW GAMING,pfwR_wD53wU,2022-08-24,gaming,9574,537,87891,2022,8,0.11504022027283795
Roblox - BẤT NGỜ KHI GAME NARUTO CÓ SỨC MẠNH TRÁI ÁC QUỶ HITO MODEL NIKA CỦA LUFFY - Shindo Life,dzptw7d8QI8,2022-08-22,gaming,1215,100,64958,2022,8,0.02024384987222513
Rich Gamer Vs Broke Gamer,hXKhM_taHJ4,2022-08-23,gaming,11797,519,364725,2022,8,0.03376790732743848
Music Mix 2022 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,gTUkevqZXKY,2022-08-22,gaming,2750,116,208701,2022,8,0.013732564769694443
ASMR Gaming 😴 Fortnite 1 Kill = 1 Trigger Relaxing Mouth Sounds 🎮🎧 Controller Sounds + Whispering 💤,mqc6QqoGNWI,2022-08-24,gaming,563,85,14537,2022,8,0.044575909747540755
1000 IQ Moments in Sports,AqvyzO3IPXc,2022-03-31,sports,39944,1677,5093587,2022,3,0.008171255345201722
Chelsea v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 8/14/2022 | NBC Sports,0RiGydlyTcM,2022-08-14,sports,19987,2358,1335282,2022,8,0.016734292831027453
Beach Bunny - Sports (Official Audio),szeXkBYq5HU,2018-01-09,sports,275577,5431,15040548,2018,1,0.01868336180304069
Team USA SHOCKS JAMAICA for women&#39;s 4x100 world title | NBC Sports,MnCilaL_3yo,2022-07-24,sports,62969,9809,4288833,2022,7,0.01696918485751252
Craziest &quot;You Have to See It to Believe It&quot; Moments in Sports History,jxlygT8QMGM,2022-04-18,sports,12785,489,1945140,2022,4,0.006824187462084992
All Sports Baseball Battle | Dude Perfect,dwV04XuiWq4,2019-04-22,sports,778342,20737,57369066,2019,4,0.013928743410255276
Impossible Moments in Sports,YaVp_xXotxo,2021-06-20,sports,56480,2515,12272628,2021,6,0.004807038883603414
Manchester United v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 8/22/2022 | NBC Sports,0AjSt2I4Vj4,2022-08-22,sports,23668,2290,1499121,2022,8,0.017315480204733308
Top 100 Sports Plays of the Decade | 2010 - 2019 Best Moments,_eaK4DIxB5s,2019-12-22,sports,102369,10191,16099483,2019,12,0.006991528858411168
Craziest &quot;Karma/Revenge&quot; Moments in Sports History,kwuIWZ9wRmw,2021-08-06,sports,60821,2638,12867358,2021,8,0.004931781644685724
All Sports Golf Battle at The Masters,heIKaaamvdc,2022-04-02,sports,355223,6889,11181957,2022,4,0.032383597969478865
Bournemouth v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,ftb3nlM9gKU,2022-08-20,sports,7866,550,619006,2022,8,0.01359599099200977
High IQ Moments in Sports,AbnjSelQYV8,2021-08-30,sports,84728,1451,10909239,2021,8,0.007899634429129292
Liverpool v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 8/15/2022 | NBC Sports,vqRZ8z1MU3o,2022-08-16,sports,6920,640,665643,2022,8,0.011357439348119037
Impossible Sports Moments,jzJW0gTYB9k,2022-02-22,sports,22479,299,2020370,2022,2,0.011274172552552255
Best Of Boxing 2021 | Full Episode | SHOWTIME SPORTS,YClWEHi6mzY,2022-01-02,sports,6568,591,592998,2022,1,0.01207255336442956
Craziest &quot;1 in a Trillion&quot; Moments in Sports History,RxhDx1gpoeo,2021-08-09,sports,127971,3938,20647398,2021,8,0.006388650037162068
Newcastle United v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,B6HQSEz2ZDg,2022-08-21,sports,11805,1116,961317,2022,8,0.013440935716314181
All Sports Trick Shots | Dude Perfect,bIDKhZ_4jLQ,2019-10-07,sports,601464,23466,27922929,2019,10,0.022380531784470033
Greatest World Records in Sport History,v3m_DlYSJOA,2020-10-03,sports,241605,6650,31518906,2020,10,0.007876383780579187
Kentucky Derby 2022 (FULL RACE) | NBC Sports,wIYD42DV3Ro,2022-05-07,sports,39999,6387,5683239,2022,5,0.008161895003887748
20 TIMES SPORTS FANS TOOK IT WAY TOO FAR,_6akkGVr2zs,2021-01-08,sports,33316,1335,7795119,2021,1,0.0044452175778201715
Craziest &quot;Deadly Fall&quot; Moments in Sports History,U7bNzl0HepU,2021-10-24,sports,14899,637,1836457,2021,10,0.008459767911799731
Top 100 Best Sports Bloopers 2020,yaGkToO1eHo,2020-12-28,sports,25347,385,9444655,2020,12,0.002724503965470417
Leeds United v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,dCMJqrAHgkc,2022-08-21,sports,11898,1330,901368,2022,8,0.014675471061763897
Reactions after Manchester United take down Liverpool | Premier League | NBC Sports,cjTV-uyMKbc,2022-08-23,sports,1096,178,106597,2022,8,0.01195155585992101
Tottenham Hotspur v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,Q99TxKPzLkc,2022-08-20,sports,6325,391,573655,2022,8,0.011707385100801004
All Sports Golf Battle 2 | Dude Perfect,-RmUADCWI4A,2017-12-04,sports,867074,43024,106014469,2017,12,0.008584658382809992
Manchester City v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 8/13/2022 | NBC Sports,WZKPK1a8w90,2022-08-13,sports,6946,481,647117,2022,8,0.011477059017148367
The Most Controversial Player in Sports,Kcne0vP4NNE,2021-09-21,sports,51562,8289,4282206,2021,9,0.013976674639192976
1 IN A TRILLION MOMENTS IN SPORTS,3fT5K2SIXDQ,2022-06-12,sports,31796,555,6134948,2022,6,0.005273231329752102
BIGGEST Winners &amp; Losers From Friday&#39;s NFL Preseason Slate I CBS Sports HQ,VAe6ZDhwZ0c,2022-08-20,sports,46,6,2219,2022,8,0.023433979269941414
Viagra Boys - Sports (Official Video),QjL7D33xpS4,2018-08-13,sports,149084,3901,4820297,2018,8,0.03173767093604398
Manchester United v. Liverpool LIVE postgame Q&amp;A | Premier League | NBC Sports,BZIfU09QOJY,2022-08-22,sports,191,35,27378,2022,8,0.008254803126598
Canadian Ultimate Championships Juniors: Open Final | Ultimate Frisbee | CBC Sports,ETsM6CGZ0_Y,2022-08-24,sports,38,1,4114,2022,8,0.009479824987846379
Nintendo Switch Sports - Overview Trailer - Nintendo Switch,tiwjvBSS_Wk,2022-03-31,sports,32772,4597,1194578,2022,3,0.0312821766347614
"Funniest Sports Moments of the Year 2021 | Crazy Fan Moments, Epic Fails &amp; Blunders",JsOL9GBAugY,2021-12-26,sports,2584,57,1051751,2021,12,0.0025110506193956553
The NFL Experience with Kai Nacua and Tyler Allgeier | BYU Sports Nation Full Episode 8.23.22,ARnERQncs0I,2022-08-23,sports,15,1,867,2022,8,0.01845444059976932
Craziest &quot;Thinking outside the Box&quot; Moments in Sports History,szlhtejAMyM,2021-10-05,sports,132236,3715,15110047,2021,10,0.008997390941272387
Caicedo? Pulisic? Casemiro? | Who are Manchester United interested in signing? ✍️🔴,x64iroHxmsc,2022-08-18,sports,3991,820,269716,2022,8,0.01783728069524982
West Ham United v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,rVcwYxqupxw,2022-08-21,sports,2192,144,230945,2022,8,0.010114962436943861
&quot;They can ******* play football…sorry&quot;😅 | Erik ten Hag reacts to his first Manchester United win,G8cramghuZ8,2022-08-22,sports,54006,3508,2699810,2022,8,0.021302980580114896
&quot;WE DONE IT BABY! 🇬🇧🇯🇲🏆 EPIC POST-FIGHT SCENES as Leon Edwards Becomes UFC Welterweight Champion,90xB3D-UYd4,2022-08-21,sports,14293,2114,577426,2022,8,0.028414030542441803
Reactions after Arsenal cruise past Bournemouth | Premier League | NBC Sports,7nMB5YvZ8Ak,2022-08-20,sports,1121,91,65057,2022,8,0.01862981692976928
Sports Car Giant Test 2022 – Ferrari vs Porsche vs McLaren &amp; more! | CAR magazine (4K),YWY5zWR5HrY,2022-08-15,sports,1941,401,83228,2022,8,0.0281395684144759
Most Embarrassing Moments in Sports - Funniest Moments in Sports History,MRdkdIfkBJ8,2022-05-31,sports,15872,156,4290144,2022,5,0.003736005131762477
Fulham v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,UtgnaBDIcNo,2022-08-20,sports,2807,194,203084,2022,8,0.014777136554332198
20 MUST SEE SPORTS MOMENTS,1_r0mhnxGN0,2020-06-14,sports,22288,451,11666184,2020,6,0.0019491377814716449
